Ref,Val,Package,PosX,PosY,Rot,Side
"R13","10k","R_0805_2012Metric",166.087500,-56.500000,0.000000,top
"R14","10k","R_0805_2012Metric",165.087500,-98.000000,0.000000,top
"R15","330R","R_0805_2012Metric",158.500000,-83.912500,90.000000,top
"R16","10k","R_0805_2012Metric",227.500000,-82.412500,-90.000000,top
"R23","470","R_0805_2012Metric",246.000000,-99.000000,180.000000,top
"R25","470","R_0805_2012Metric",251.500000,-93.500000,180.000000,top
"R26","2.49k","R_0805_2012Metric",251.500000,-90.000000,0.000000,top
"R27","2.49k","R_0805_2012Metric",244.412500,-87.500000,180.000000,top
"R28","2.49k","R_0805_2012Metric",244.500000,-90.000000,180.000000,top
"R29","2.49k","R_0805_2012Metric",244.500000,-92.500000,180.000000,top
"U1","LAN7801-I/9JX","SQFN64_9JX_MCH",190.500000,-76.200000,180.000000,top
"U2","TPS62162QDSGRQ1","DSG0008A",165.087500,-88.399999,0.000000,top
"U3","93C56A-I/P","PDIP8_300MC_MCH",177.000000,-61.620000,180.000000,top
"U4","DP83TG720SWRHARQ1","VQFN36_6X6_TEX",219.500000,-75.500000,90.000000,top
"U5","TPS784105QWDRBRQ1","DRB0008J-IPC_A",227.000000,-60.825001,0.000000,top
"U6","219-5MST","SW5_219SMT",235.500000,-92.500000,0.000000,top
"XTAL1","ECS-250-18-36B2-CTY-TR","ECX-2236B2_ECS",188.009400,-92.143000,0.000000,top
